metab_id	Metabolite	Compound	ID	m/z	Retention time	Mode	Adducts	Formula	Fragmentation Score	Theoretical Fragmentation Score	level	Mass Error (ppm)	KEGG Compound ID	Library ID	compound_source	CAS ID	drugbank_id	drugbank	Score	SMILES	ORG_1	ORG_2	ORG_3	ORG_4	ORG_5	ORG_6	ORG_7	ORG_8	ORG_9	ELC_1	ELC_2	ELC_3	ELC_4	ELC_5	ELC_6	ELC_7	ELC_8	ELC_9	ELC_10	ELC_11	CON_1	CON_2	CON_3	CON_4	CON_5	CON_6	CON_7	CON_8	CON_9	CON_10	QC01	QC02	QC03
metab_0	1-Aminocyclopropane-1-Carboxylate	0.02_84.0450m/z	pos_1	84.04501837	0.0214	pos	M+H-H2O	C4H7NO2	71.9	0	B(i)	6.216367347	C01234	HMDB0036458	-	22059-21-8	DB02085	drug	52	NC1(C(=O)O)CC1	4.817327288	4.882166286	4.904277471	5.006758425	4.946357129	4.975449048	4.95902754	4.997146033	5.023966965	4.956417759	4.95357873	4.927583178	5.093085485	5.05849945	5.061399505	5.059564699	5.024956071	5.038644057	5.019038429	5.081845753	4.920801587	4.859313986	5.011155135	5.043232768	5.056083751	5.020696256	4.985877806	4.98118272	4.907327813	5.107133216	4.8189316	4.962391117	5.066644185
metab_1	metab_1	0.21_127.0391m/z	pos_2	127.0391189	0.213333333	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.727920694	5.755445982	5.781441218	5.842727462	5.882262861	5.878765048	5.890953254	5.873366607	5.902519198	5.815413592	5.80105181	5.787814933	5.913562883	5.911823779	5.929820531	5.938049215	5.936478886	5.914006048	5.933230899	5.921276913	5.866902572	5.883839514	5.917510364	5.892438726	5.909832106	5.898204782	5.932199472	5.952089808	5.941105697	5.941799878	5.718934142	5.866341991	5.904618367
metab_2	metab_2	0.32_152.0682m/z	pos_3	152.0681807	0.320116667	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.639436766	4.689504762	4.612715842	4.744121848	4.712343404	4.731248701	4.687913663	4.730177636	4.684655607	4.771313559	4.71311511	4.72694955	4.730031419	4.768990212	4.758854053	4.791557997	4.682313757	4.74128464	4.715570299	4.711362475	4.604222457	4.643013653	4.790907929	4.754543473	4.770047956	4.637715994	4.678573545	4.722677115	4.708077435	4.72841529	4.649478999	4.731529631	4.667489885
metab_3	Alpha-Methylene-Gamma-Butyrolactone	0.34_99.0445m/z	pos_4	99.0445008	0.335516667	pos	M+H	C5H6O2	47.9	0	B(i)	4.538440996	C20578	HMDB0246945	nonnatural	-	-	-	45.2	C=C1CCOC1=O	5.141871763	5.136510454	5.097790811	5.078713721	5.13698761	5.142932998	5.112644835	5.102725273	5.137771484	5.15511921	5.099560736	5.074390123	5.149759534	5.15634686	5.14575322	5.176022288	5.137954483	5.123256969	5.149913483	5.16719192	5.087148786	5.066280105	5.137652295	5.14569028	5.134385673	5.123076814	5.153736186	5.235470889	5.179141867	5.2116831	5.174168197	5.132782713	5.161421668
metab_4	Eucalyptol	0.36_137.1326m/z	pos_5	137.1325518	0.358733333	pos	M+H-H2O	C10H18O	54.7	0	B(i)	0.485607789	C09844	HMDB0004472	-	470-82-6	DB03852	drug	49.4	CC12CCC(CC1)C(C)(C)O2	5.95190549	5.962103552	5.944206598	5.95889428	5.940958522	5.962112153	5.954267505	5.947146321	5.942048919	5.965282483	5.944465382	5.903213936	5.927273826	5.919890969	5.935420242	5.977655046	5.95178591	5.916528547	5.922339691	5.930238706	5.935574578	5.94460949	5.992009928	5.929608034	5.922054341	5.921366804	5.925507347	5.936832174	5.918357173	5.949064826	6.006027987	5.977771674	5.97862938
metab_6	metab_6	0.40_112.1124m/z	pos_7	112.1123768	0.39675	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.709901447	4.712650937	4.606700787	4.633956128	4.635147021	4.451917262	4.625001042	4.539366672	4.584810312	4.605215975	4.737159673	4.697321403	4.684924818	4.537711064	4.647623836	4.827833678	4.702411897	4.595794324	4.598304533	4.716832309	4.734252901	4.70444702	4.612145345	4.742395123	4.789830406	4.694315284	4.628634162	4.435395805	4.683281133	4.581699933	4.674429998	4.658588331	4.628295213
metab_7	Spermidine	0.40_146.1652m/z	pos_8	146.1651908	0.404583333	pos	M+H	C7H19N3	60	0	B(i)	0.115444897	C00315	HMDB0001257;PW_C000971	-	124-20-9	DB03566	drug	51.4	NCCCCNCCCN	6.160799076	6.039498914	6.073465864	6.044009024	6.017225632	5.893700215	6.056796037	5.995086066	5.978369124	6.021836882	6.138943425	6.110899407	6.065044138	5.981438574	6.012693977	6.230964652	6.130630724	6.067240565	6.00033672	6.115696305	6.087330542	6.00262788	6.02519206	6.18371518	6.155867351	6.142515885	6.111521498	6.048019989	6.140830275	6.080385498	6.108264344	6.083889413	6.070571036
metab_8	metab_8	0.44_83.0382m/z	pos_9	83.03817867	0.435483333	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4.432762487	4.489416694	4.488038282	4.422229457	4.382656451	4.345872213	4.447623241	4.50614808	4.365130722	4.574111992	4.368942427	4.335594714	4.595858277	4.510204574	4.339751879	4.458799068	4.590523981	4.235683532	4.290338783	4.423553117	4.472751025	4.383753966	4.277038442	4.445732309	4.467739861	4.397155784	4.584236087	4.593266686	4.564213443	4.559196542	4.509736945	4.563864456	4.605750243
metab_10	metab_10	0.44_82.5377m/z	pos_11	82.53770827	0.4433	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.312217363	5.32061292	5.315671839	5.24143644	5.230734223	5.310649167	5.279777597	5.285096949	5.270792892	5.098985427	5.083925708	5.1408937	5.404826987	5.30333842	5.213987564	5.297403581	5.279393734	5.288524086	5.238694659	5.246510671	5.231963371	5.367055466	5.180005736	5.268982767	5.101791477	5.30777743	5.48815041	5.491895253	5.409858633	5.427468224	5.299913314	5.339936972	5.259868672
metab_11	metab_11	0.44_100.0248m/z	pos_12	100.0248024	0.4433	pos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5.865460727	5.922667757	5.867542431	5.818829422	5.826424382	5.882973902	5.841798085	5.84922965	5.898471336	5.690711394	5.748212824	5.742854151	5.979248487	5.805383408	5.784881829	5.905692611	5.873475169	5.860109353	5.871783894	5.864876661	5.846849165	5.929415035	5.812153925	5.857632152	5.714942532	5.870430969	6.03086001	6.059451627	5.995552359	6.037046801	5.897148634	5.897904164	5.887389134
